contact_id,session_id,topic_name,business_unit,application_channel,language,num_turns,contained,escalated_to_agent,csat_score,queue_name,session_duration_seconds,confidence_score,derived_resolution_score,session_start
CONT-AB9A5CB3,SESS-BBBB68E0,Account Management,Technology,IVR,en,4,0,0,1.8,,145,0.5065,0.3106,2026-03-31T04:10:38
CONT-E138B79D,SESS-7367E4C2,Password Reset,Retail,Web,en,1,1,0,2.1,,37,0.8789,0.7776,2026-03-13T03:00:48
CONT-05A5839C,SESS-C64EFD94,Subscription Management,Retail,IVR,es,13,1,0,1.7,,272,0.5984,0.6414,2026-03-25T16:27:29
CONT-FB0ED63B,SESS-D9206FAF,Order Status,Financial Services,IVR,pt,11,1,0,2.4,,307,0.8144,0.7698,2026-03-15T06:50:47
CONT-B4D7E433,SESS-442DBCD5,Product Support,Financial Services,Partner API,en,17,1,0,,,1155,0.4843,0.639,2026-04-01T08:53:37
CONT-85583E08,SESS-F4A0604E,Technical Troubleshooting,Technology,IVR,en,3,1,0,,,373,0.8868,0.9208,2026-03-29T07:17:33
CONT-DDD2CAF7,SESS-F2CC3DCF,Loyalty Program,Healthcare,Web,fr,4,1,0,,,166,0.98,0.986,2026-03-22T12:22:47
CONT-BA56BD4B,SESS-81BEA7EB,Order Status,Retail,Web,en,5,1,0,3.6,,199,0.4253,0.6861,2026-03-21T04:05:29
CONT-59D01799,SESS-B80C1468,Subscription Management,Travel,IVR,ja,6,1,0,2.8,,317,0.9853,0.8621,2026-04-02T09:58:46
CONT-99BA119E,SESS-0BFDE76B,Account Management,Technology,Kiosk,en,8,1,0,4.8,,222,0.9153,0.9541,2026-03-14T19:26:52
CONT-DDFC7BD9,SESS-0BDF060F,Subscription Management,Technology,IVR,en,16,0,1,4.4,General-Service,571,0.8356,0.5982,2026-03-25T00:57:27
CONT-9962F270,SESS-9B16986E,Product Support,Healthcare,Web,en,19,1,0,,,995,0.6527,0.7569,2026-03-17T11:19:59
CONT-00B16408,SESS-95662E53,Loyalty Program,Financial Services,Web,es,14,1,0,4.2,,1020,0.4959,0.7504,2026-03-24T18:51:48
CONT-AA0EFEA4,SESS-4EFEF0A3,Order Status,Retail,Partner API,en,6,0,1,,Billing-Ops,344,0.5467,0.3827,2026-03-08T23:50:01
CONT-5E5F2267,SESS-69A92CCC,Order Status,Financial Services,Mobile App,en,3,0,0,,,121,0.3679,0.2575,2026-04-03T20:29:04
CONT-3394E0EB,SESS-632277D1,Order Status,Healthcare,Mobile App,es,13,0,1,,Billing-Ops,787,0.788,0.5516,2026-03-28T20:44:02
CONT-60C3A876,SESS-79FB7266,Technical Troubleshooting,Retail,IVR,es,1,0,1,3.7,Tier1-Support,37,0.8445,0.5598,2026-03-13T22:12:25
CONT-677C7767,SESS-727C1733,Order Status,Technology,Partner API,en,14,1,0,,,911,0.7056,0.7939,2026-04-05T14:34:01
CONT-BBFC111F,SESS-536C6F37,General Inquiry,Healthcare,IVR,fr,6,0,1,2.7,Tech-Escalation,797,0.8349,0.496,2026-03-15T03:29:17
CONT-BC21F928,SESS-28C00346,Password Reset,Financial Services,Web,de,12,1,0,,,1178,0.5812,0.7068,2026-03-19T18:40:25
CONT-E8DDC77E,SESS-5F8D0FC5,Order Status,Healthcare,IVR,en,11,1,0,1.6,,3597,1.0,0.796,2026-03-26T22:08:45
CONT-BAA6B982,SESS-34277431,Password Reset,Technology,Kiosk,en,6,1,0,,,250,0.4732,0.6312,2026-04-03T03:30:29
CONT-328F403D,SESS-6CDD8040,Subscription Management,Travel,Web,fr,5,0,1,,Tier1-Support,680,0.7425,0.5198,2026-03-22T14:31:28
CONT-BBFAABC8,SESS-9F930D7D,Product Support,Technology,Kiosk,en,2,0,1,1.4,Billing-Ops,86,0.2354,0.1782,2026-03-29T11:39:27
CONT-CFDC4AEB,SESS-5CDE454D,Account Management,Healthcare,IVR,fr,19,1,0,,,1421,0.8101,0.8671,2026-04-01T21:38:24
CONT-E279A545,SESS-4E242A92,Account Management,Technology,Partner API,en,2,0,0,,,145,0.3344,0.2341,2026-03-19T19:35:34
CONT-7EB5AA38,SESS-2125C5CF,Product Support,Retail,Mobile App,es,18,0,0,3.4,,602,0.1496,0.2638,2026-03-11T17:05:43
CONT-FA02C9BD,SESS-271187B6,Technical Troubleshooting,Healthcare,Partner API,en,2,1,0,2.1,,87,0.933,0.7992,2026-03-14T08:05:29
CONT-60197F74,SESS-C9A448F0,Loyalty Program,Technology,Mobile App,en,2,1,0,,,53,0.6135,0.7294,2026-03-28T01:20:06
CONT-0E4A0BD0,SESS-B1C6972B,Password Reset,Retail,Partner API,zh,1,0,1,1.2,General-Service,81,0.778,0.3832,2026-03-17T23:48:07
CONT-02113A00,SESS-516802EC,Technical Troubleshooting,Retail,Partner API,en,5,1,0,,,167,0.6847,0.7793,2026-03-28T12:16:42
CONT-488DE685,SESS-CBEC8C80,Product Support,Retail,Partner API,zh,2,1,0,3.3,,72,0.8797,0.8499,2026-03-29T06:24:38
CONT-538DF23C,SESS-707C568E,General Inquiry,Technology,Mobile App,es,10,1,0,,,1490,0.6052,0.7236,2026-03-24T15:37:43
CONT-4DB2D071,SESS-FD8D9E59,Technical Troubleshooting,Healthcare,Partner API,en,12,1,0,,,731,0.6943,0.786,2026-03-22T14:29:35
CONT-42774430,SESS-F6476562,General Inquiry,Healthcare,Partner API,fr,5,0,0,2.7,,481,0.8402,0.4981,2026-03-30T06:47:59
CONT-56ACB0FD,SESS-775E1181,General Inquiry,Retail,Kiosk,es,5,1,0,3.1,,595,0.5207,0.6943,2026-03-07T10:38:23
CONT-CC2A3CB8,SESS-0E9F42C6,General Inquiry,Travel,IVR,fr,2,0,0,,,177,0.45,0.315,2026-03-31T11:26:29
CONT-D412112D,SESS-37884449,Order Status,Financial Services,Web,en,5,1,0,1.3,,107,0.6094,0.6218,2026-04-01T15:45:35
CONT-FE8F145C,SESS-417B3AE7,Technical Troubleshooting,Retail,Kiosk,en,1,0,0,2.1,,86,0.5694,0.3538,2026-03-20T03:27:09
CONT-4BE19E2F,SESS-93093580,Loyalty Program,Technology,Mobile App,pt,12,0,1,,Billing-Ops,285,0.3933,0.2753,2026-03-19T17:24:25
CONT-3414746D,SESS-7AED017B,Loyalty Program,Travel,Kiosk,ja,9,0,1,,General-Service,265,0.4548,0.3184,2026-03-23T14:42:52
CONT-1FE5EEE4,SESS-D5F9FD95,Password Reset,Technology,IVR,en,5,1,0,,,549,0.5801,0.7061,2026-03-27T19:00:17
CONT-42BDEFC9,SESS-1035E34F,Loyalty Program,Technology,IVR,en,5,0,1,,General-Service,312,0.602,0.4214,2026-03-24T01:37:21
CONT-DB9A324D,SESS-A1F4B977,Product Support,Travel,Partner API,en,18,0,1,,Billing-Ops,910,0.5759,0.4031,2026-03-24T08:03:13
CONT-376A7825,SESS-88D73BDA,Product Support,Technology,IVR,fr,15,1,0,,,626,0.6066,0.7246,2026-03-12T01:19:21
CONT-A1AE56BE,SESS-1BA9238D,Billing Inquiry,Financial Services,Mobile App,fr,1,0,1,3.4,Tier1-Support,112,0.6138,0.4495,2026-03-19T07:04:46
CONT-5C492939,SESS-61AA0455,Account Management,Healthcare,Mobile App,en,12,1,0,2.7,,447,0.7461,0.7604,2026-03-28T23:18:31
CONT-55651E82,SESS-17011DD5,General Inquiry,Technology,Web,de,7,0,1,,Tech-Escalation,562,0.5953,0.4167,2026-03-10T18:12:22
CONT-DC899914,SESS-83D25C2D,Product Support,Retail,Mobile App,en,1,1,0,3.9,,85,0.5934,0.7714,2026-03-17T11:13:04
CONT-EA600079,SESS-819210CF,Billing Inquiry,Technology,Web,en,4,1,0,,,219,0.6067,0.7247,2026-03-09T11:48:27
CONT-5B8CDBEB,SESS-14662F3F,Password Reset,Travel,IVR,en,18,0,1,,General-Service,363,0.3563,0.2494,2026-03-16T17:20:27
CONT-F02FBC5E,SESS-07A5D445,Subscription Management,Healthcare,Web,en,1,1,0,2.2,,52,0.6972,0.7109,2026-03-26T21:47:46
CONT-898D1870,SESS-0F744944,Loyalty Program,Financial Services,Kiosk,en,6,1,0,,,407,0.6071,0.725,2026-03-07T23:52:56
CONT-2F5B6595,SESS-2E90BCF7,General Inquiry,Financial Services,Web,en,14,1,0,,,767,0.3021,0.5115,2026-03-14T16:50:00
CONT-F37BFA19,SESS-06763950,Subscription Management,Travel,Mobile App,en,6,1,0,2.1,,142,0.3855,0.5802,2026-03-17T13:49:17
CONT-05A2E62F,SESS-319A92A5,Order Status,Healthcare,Kiosk,en,17,1,0,,,420,0.9592,0.9714,2026-03-29T08:48:36
CONT-8AE358AA,SESS-E1E84623,Billing Inquiry,Retail,Web,en,10,1,0,3.1,,514,0.5859,0.7204,2026-03-07T13:28:03
CONT-E49FC7BB,SESS-4E744F9C,Technical Troubleshooting,Travel,Partner API,es,8,1,0,,,692,0.7875,0.8512,2026-03-27T16:11:17
CONT-45F72A3F,SESS-F991A036,Billing Inquiry,Healthcare,IVR,en,12,0,0,1.1,,587,0.8113,0.3905,2026-03-19T00:11:33
CONT-376A7825,SESS-D1983738,Loyalty Program,Travel,Web,en,14,0,0,1.8,,410,0.798,0.4272,2026-03-22T21:29:57
CONT-F613332A,SESS-C6D1A221,Technical Troubleshooting,Travel,IVR,en,7,1,0,4.2,,319,0.8173,0.8789,2026-03-27T13:52:15
CONT-CA103FC1,SESS-BCD3FE43,General Inquiry,Financial Services,Web,en,5,0,0,1.8,,202,0.5032,0.3093,2026-03-08T01:18:37
CONT-C4A73A6B,SESS-A997AA76,Product Support,Financial Services,Mobile App,en,18,1,0,1.9,,643,0.7222,0.7029,2026-03-10T07:37:27
CONT-F5441525,SESS-D8F4B666,General Inquiry,Technology,IVR,es,6,1,0,1.4,,497,0.8434,0.7214,2026-03-23T10:44:10
CONT-FB10B23F,SESS-12790E63,Returns & Refunds,Retail,IVR,es,18,0,0,,,1659,0.415,0.2905,2026-03-15T04:22:24
CONT-892D7832,SESS-8FA1E980,General Inquiry,Retail,Mobile App,en,12,1,0,,,408,0.3796,0.5657,2026-03-12T00:25:58
CONT-9DDB27E6,SESS-02C0024F,Account Management,Retail,Mobile App,en,16,1,0,3.9,,1750,0.54,0.75,2026-04-02T16:23:16
CONT-D0AA31E7,SESS-66FCB7AE,Loyalty Program,Financial Services,Partner API,en,5,1,0,,,406,0.4604,0.6223,2026-03-24T20:06:31
CONT-CE4A6AD9,SESS-AC0CFE1C,Returns & Refunds,Healthcare,Mobile App,en,1,0,1,4.1,Billing-Ops,54,0.7317,0.5387,2026-03-28T23:42:09
CONT-9C100BDA,SESS-2C0ED245,Account Management,Travel,Web,en,19,1,0,,,1093,0.546,0.6822,2026-03-17T01:32:09
CONT-007B25CC,SESS-AB2FB769,Account Management,Financial Services,Web,de,6,1,0,,,693,0.7542,0.8279,2026-03-16T12:27:59
CONT-168CCE14,SESS-E5D5796B,Product Support,Technology,IVR,en,9,1,0,,,386,0.298,0.5086,2026-04-02T10:46:09
CONT-4F553A8C,SESS-59ED76B6,Loyalty Program,Travel,Mobile App,fr,12,1,0,3.0,,368,0.8285,0.8114,2026-03-27T13:33:35
CONT-2EDC12D5,SESS-A2981485,Password Reset,Healthcare,IVR,es,3,0,1,,Tech-Escalation,237,0.3686,0.258,2026-03-22T03:52:06
CONT-32C43EA5,SESS-C7816932,Billing Inquiry,Healthcare,Partner API,es,3,0,0,2.5,,144,0.8032,0.4713,2026-03-26T16:39:58
CONT-4C573B36,SESS-930F23AB,Password Reset,Travel,Kiosk,en,9,0,1,3.7,Tier1-Support,338,0.7774,0.533,2026-03-30T12:42:35
CONT-BA69E9D7,SESS-84E26F38,Returns & Refunds,Retail,Kiosk,pt,9,0,0,2.2,,415,0.4308,0.3043,2026-03-20T07:53:40
CONT-E594B83F,SESS-405AD2F4,Technical Troubleshooting,Healthcare,Partner API,en,8,1,0,,,315,0.8231,0.8762,2026-03-28T20:02:01
CONT-32CE1D5A,SESS-119CCF57,Product Support,Technology,Web,en,15,1,0,,,431,0.5253,0.6677,2026-03-11T18:53:16
CONT-53887138,SESS-ADC1A0E9,Technical Troubleshooting,Technology,IVR,en,3,0,1,,Tech-Escalation,115,0.8588,0.6012,2026-03-13T06:43:38
CONT-1B517847,SESS-48B3278D,General Inquiry,Retail,Web,en,6,1,0,,,196,0.5095,0.6566,2026-04-03T16:38:03
CONT-898D1870,SESS-D2A28AAE,Order Status,Travel,Partner API,es,16,0,0,,,618,0.4277,0.2994,2026-03-15T04:24:44
CONT-967177A0,SESS-4587B301,Password Reset,Retail,IVR,en,18,1,0,1.5,,665,0.9255,0.7602,2026-03-28T20:48:49
CONT-991E28A2,SESS-289E2B85,Returns & Refunds,Travel,Partner API,es,17,0,1,,Billing-Ops,1035,0.7642,0.5349,2026-03-09T19:04:41
CONT-16965E12,SESS-ABB47E3A,Subscription Management,Retail,IVR,de,14,1,0,,,601,0.6338,0.7437,2026-03-24T00:29:22
CONT-9B83DB99,SESS-7757F941,Account Management,Technology,Partner API,en,13,0,1,2.3,Billing-Ops,267,0.9708,0.5263,2026-03-16T07:41:40
CONT-2ED21BFE,SESS-790FE1CC,Product Support,Financial Services,Partner API,en,6,1,0,,,890,0.9885,0.992,2026-03-30T17:52:48
CONT-EA600079,SESS-4A887C19,Password Reset,Technology,IVR,en,9,0,1,,Tier1-Support,88,0.7504,0.5253,2026-03-10T05:20:37
CONT-85525F5F,SESS-3DF64F30,General Inquiry,Healthcare,Web,es,14,0,0,1.6,,593,0.2331,0.1892,2026-03-15T17:35:32
CONT-1881C203,SESS-8D3962C0,Returns & Refunds,Financial Services,Web,en,1,1,0,3.3,,86,0.6219,0.7468,2026-03-25T23:52:38
CONT-DDE0EFCD,SESS-C8C2F131,Billing Inquiry,Travel,Partner API,en,3,1,0,4.2,,161,0.8166,0.8786,2026-03-25T11:59:15
CONT-05277C3A,SESS-282D0A59,General Inquiry,Healthcare,Mobile App,es,14,1,0,,,166,0.9174,0.9422,2026-03-30T23:53:19
CONT-EE2FD574,SESS-D9898D80,Returns & Refunds,Financial Services,Partner API,en,5,1,0,,,187,0.6565,0.7595,2026-03-19T01:08:42
CONT-57831F1B,SESS-C433CBDF,Account Management,Technology,IVR,zh,16,1,0,,,185,0.5543,0.688,2026-03-31T04:43:31
CONT-58F78F26,SESS-92DF2248,Product Support,Travel,Partner API,en,12,0,0,,,968,0.683,0.4781,2026-03-17T11:47:37
CONT-66C53610,SESS-A868B8A7,Order Status,Technology,Kiosk,en,20,0,1,,General-Service,610,0.2222,0.1555,2026-03-16T14:01:53
CONT-2882CC9F,SESS-761E2301,General Inquiry,Technology,Kiosk,en,10,1,0,,,1079,0.7028,0.792,2026-03-28T11:23:40
CONT-6B737A83,SESS-BAE35A7D,Technical Troubleshooting,Financial Services,Mobile App,en,12,0,0,,,362,0.435,0.3045,2026-03-21T04:46:27
CONT-58F78F26,SESS-D073022F,Technical Troubleshooting,Healthcare,Kiosk,zh,20,1,0,3.3,,553,0.5662,0.7245,2026-04-02T19:32:36
CONT-3CE6CC62,SESS-1ECF9574,Product Support,Healthcare,Partner API,en,14,0,1,4.9,General-Service,958,0.5383,0.5093,2026-03-22T22:52:51
CONT-BC739A87,SESS-1C43030B,Account Management,Retail,Web,en,19,0,1,,Billing-Ops,460,1.0,0.7,2026-03-28T06:02:46
CONT-9410939C,SESS-C0AB5566,Account Management,Financial Services,Partner API,en,8,1,0,1.9,,1091,0.6034,0.6554,2026-03-19T23:29:05
CONT-FADB000A,SESS-659B2D90,Billing Inquiry,Retail,Web,en,19,0,1,,Tier1-Support,1513,1.0,0.7,2026-03-15T12:10:16
CONT-1324F705,SESS-56444268,Product Support,Technology,Mobile App,de,5,1,0,,,287,0.7293,0.8105,2026-03-19T07:25:02
CONT-009E296B,SESS-88842623,Account Management,Retail,IVR,en,1,1,0,3.0,,24,0.534,0.6936,2026-04-02T15:46:13
CONT-717337CA,SESS-889014B3,General Inquiry,Financial Services,IVR,en,5,1,0,,,792,0.1591,0.4114,2026-03-17T10:26:28
CONT-6F793E4D,SESS-E771FB5B,Loyalty Program,Travel,Mobile App,en,10,1,0,4.0,,858,1.0,0.94,2026-03-30T08:37:29
CONT-C82BBCBB,SESS-5723AD00,Product Support,Financial Services,Partner API,fr,19,0,1,,Billing-Ops,374,0.8965,0.6276,2026-03-18T07:37:22
CONT-79B73A9A,SESS-A2D27C9F,General Inquiry,Travel,Web,en,18,0,1,4.5,Tier1-Support,2948,1.0,0.67,2026-03-16T13:44:32
CONT-CA103FC1,SESS-70B35D29,Technical Troubleshooting,Travel,Mobile App,pt,1,1,0,2.2,,32,1.0,0.832,2026-04-03T10:25:46
CONT-8AB12062,SESS-92731A4A,Password Reset,Healthcare,Kiosk,de,6,1,0,,,114,0.6469,0.7528,2026-04-04T11:14:19
CONT-A93F4CEB,SESS-262DB88A,Product Support,Travel,Web,en,6,1,0,,,258,0.849,0.8943,2026-04-01T16:19:53
CONT-2A78F4DA,SESS-E8EA5742,Order Status,Technology,Web,fr,15,1,0,,,258,0.6372,0.746,2026-03-09T13:57:57
CONT-9D93A826,SESS-D52A91EB,Technical Troubleshooting,Financial Services,Kiosk,en,18,1,0,4.2,,1061,0.767,0.8588,2026-03-30T00:12:49
CONT-8A24BB99,SESS-8B4655AF,Technical Troubleshooting,Travel,Web,es,20,0,1,,General-Service,1169,1.0,0.7,2026-03-09T02:27:33
CONT-6ADC3FEB,SESS-911961AB,Password Reset,Healthcare,Web,ja,18,0,0,,,628,0.5288,0.3702,2026-03-10T17:56:01
CONT-00D6E417,SESS-4C2B98A5,Loyalty Program,Financial Services,Web,en,6,0,0,,,199,0.598,0.4186,2026-03-18T09:42:27
CONT-B8011E5E,SESS-F8B899A1,Password Reset,Financial Services,Mobile App,en,10,1,0,3.8,,397,0.8407,0.8643,2026-03-21T18:21:27
CONT-DB9A324D,SESS-A309D28C,Technical Troubleshooting,Travel,Web,pt,6,0,0,,,235,0.7851,0.5496,2026-03-13T20:24:41
CONT-1D393C13,SESS-F770FFE2,Account Management,Travel,Partner API,es,17,1,0,4.9,,647,0.8339,0.9276,2026-03-13T23:16:04
CONT-DDA92D66,SESS-56C0A6BB,Billing Inquiry,Financial Services,IVR,en,18,0,0,,,1195,0.5598,0.3919,2026-03-23T18:46:00
CONT-5998E223,SESS-17503BDC,Billing Inquiry,Retail,Kiosk,en,20,1,0,,,844,1.0,1.0,2026-03-25T00:30:58
CONT-E04AC1D9,SESS-D25C5751,Product Support,Retail,Web,pt,6,1,0,,,182,0.6433,0.7503,2026-03-26T22:34:41
CONT-6C9DAF2C,SESS-A0CE51FE,Product Support,Healthcare,Kiosk,en,16,1,0,,,1320,0.8831,0.9182,2026-03-15T12:19:30
CONT-BB2E59F1,SESS-450E30D6,Billing Inquiry,Financial Services,Kiosk,es,10,0,0,4.2,,331,0.968,0.6392,2026-03-31T22:54:09
CONT-5E284B96,SESS-6B4BFC11,Returns & Refunds,Financial Services,Web,es,11,0,1,4.3,Billing-Ops,270,0.6976,0.537,2026-03-19T01:58:56
CONT-B53D3940,SESS-AC8E2638,Password Reset,Retail,Kiosk,en,17,0,0,,,566,0.4966,0.3476,2026-03-09T18:33:48
CONT-09F996D4,SESS-C6923FD6,Subscription Management,Technology,IVR,es,2,1,0,,,113,0.713,0.7991,2026-03-09T04:41:47
CONT-03AEE1FE,SESS-D702297E,Returns & Refunds,Retail,Mobile App,en,6,0,0,,,355,0.7493,0.5245,2026-03-23T18:57:09
CONT-9B32EB09,SESS-611F7F8F,Subscription Management,Retail,Web,es,9,0,0,,,1284,0.3638,0.2547,2026-03-24T01:33:43
CONT-7960FD63,SESS-D97BEB2E,Product Support,Retail,Kiosk,es,14,1,0,,,1000,0.9548,0.9684,2026-03-18T19:14:37
CONT-E35887D8,SESS-B67227D5,Subscription Management,Healthcare,IVR,zh,14,1,0,,,261,0.7329,0.813,2026-03-26T22:12:12
CONT-F1927C86,SESS-0E9ED54D,Loyalty Program,Technology,Kiosk,fr,10,0,0,,,417,0.6295,0.4406,2026-03-29T21:51:16
CONT-5A09B2AA,SESS-86F3EB4E,Returns & Refunds,Healthcare,Mobile App,en,5,1,0,,,163,0.8792,0.9154,2026-03-20T02:36:59
CONT-55BA21AD,SESS-2538C231,Password Reset,Financial Services,Mobile App,en,20,0,0,3.5,,1465,0.7139,0.4956,2026-03-23T11:30:06
CONT-4C75C281,SESS-23812EFE,Subscription Management,Travel,Kiosk,en,17,0,0,,,913,0.3635,0.2544,2026-03-09T04:55:05
CONT-FDB7ADE1,SESS-231D2BD6,Product Support,Technology,Web,es,7,1,0,2.9,,499,0.3985,0.6334,2026-03-24T18:52:37
CONT-40B5313E,SESS-9BCA2D71,General Inquiry,Financial Services,Kiosk,fr,8,0,0,2.6,,257,0.749,0.4556,2026-03-13T00:59:29
CONT-B2DE920C,SESS-E9F94409,Technical Troubleshooting,Technology,Partner API,ja,11,0,1,1.9,Billing-Ops,416,0.686,0.3884,2026-03-29T06:54:16
CONT-4BB08FC7,SESS-34E2761F,Loyalty Program,Travel,Web,en,4,1,0,,,206,0.8953,0.9267,2026-04-01T10:13:06
CONT-00DAF020,SESS-564A251E,Subscription Management,Travel,Partner API,en,8,0,0,,,186,0.6319,0.4423,2026-03-10T04:59:07
CONT-E23FB523,SESS-69055A45,Account Management,Financial Services,Kiosk,en,6,1,0,3.8,,284,0.5915,0.7646,2026-03-26T17:01:40
CONT-B3D85364,SESS-2ADBD202,Product Support,Retail,Kiosk,de,1,1,0,2.1,,41,0.3916,0.5826,2026-03-13T15:22:28
CONT-D103997F,SESS-1DD2F01C,Subscription Management,Travel,Mobile App,es,12,1,0,1.9,,882,0.657,0.6768,2026-04-04T17:58:10
CONT-8F779F62,SESS-2F7A1B1F,Subscription Management,Technology,Mobile App,pt,1,1,0,,,17,0.2092,0.4464,2026-03-08T15:16:56
CONT-CE6EC2FA,SESS-B66749B0,Subscription Management,Healthcare,Web,pt,19,1,0,,,444,0.6152,0.7306,2026-03-11T10:37:01
CONT-2ED21BFE,SESS-0CAB631A,Returns & Refunds,Healthcare,Kiosk,en,20,1,0,2.5,,1249,0.3422,0.5869,2026-04-04T06:17:20
CONT-247E2449,SESS-899586C8,Password Reset,Travel,Partner API,en,10,1,0,,,734,0.3186,0.523,2026-03-28T17:51:36
CONT-F71FF0F5,SESS-4B20CC52,General Inquiry,Technology,Kiosk,en,13,0,0,3.8,,688,0.663,0.4932,2026-03-11T13:08:36
CONT-FC6C3D69,SESS-DB05096A,Password Reset,Travel,Web,es,16,1,0,2.5,,1999,0.9757,0.8403,2026-03-11T00:42:43
CONT-824F299B,SESS-E1F4A3DB,General Inquiry,Travel,Kiosk,en,10,1,0,,,684,0.2405,0.4684,2026-03-17T02:19:47
CONT-CEBB3FD5,SESS-922E2CFA,Product Support,Travel,Mobile App,en,12,1,0,,,1370,0.6116,0.7281,2026-03-21T13:03:56
CONT-11B8571A,SESS-37ECD3AF,Technical Troubleshooting,Healthcare,Partner API,en,19,1,0,1.6,,544,0.6767,0.6667,2026-03-27T20:08:48
CONT-B0216D15,SESS-D223CDA2,Technical Troubleshooting,Travel,IVR,de,8,0,0,4.7,,236,0.4034,0.4434,2026-04-03T12:14:14
CONT-2CDBB31C,SESS-07B86F85,Billing Inquiry,Technology,Web,de,3,1,0,,,157,0.706,0.7942,2026-03-07T11:28:20
CONT-B880113D,SESS-E7996F4A,Technical Troubleshooting,Healthcare,Web,en,18,1,0,1.7,,1615,0.5766,0.6326,2026-04-01T13:33:20
CONT-4105A2F5,SESS-1DDBC8EB,Order Status,Financial Services,Mobile App,es,2,1,0,2.1,,107,0.6108,0.6703,2026-04-01T12:02:06
CONT-C7077483,SESS-1A1D74A3,Returns & Refunds,Technology,Kiosk,es,13,0,0,,,463,0.512,0.3584,2026-03-09T10:21:05
