contact_id,session_id,event_type,page_name,application_channel,business_unit,time_on_page_seconds,scroll_depth_pct,is_bounce,event_timestamp
CONT-0E49037C,SESS-A7FC903F,chat_close,/billing,Web,Retail,54,65.6,0,2026-03-23T10:16:07
CONT-FB0ED63B,SESS-F6A6F2B7,chat_open,/account,IVR,Technology,32,85.8,0,2026-03-20T22:49:47
CONT-AA7B3F05,SESS-6FA58AB6,form_submit,/home,Mobile App,Healthcare,80,52.6,0,2026-03-17T09:30:20
CONT-DE066BAD,SESS-FAFFAE72,chat_close,/home,Web,Healthcare,18,30.2,0,2026-03-30T05:53:41
CONT-5473931F,SESS-11AAE719,chat_close,/contact,Web,Retail,19,6.2,0,2026-03-29T08:04:47
CONT-C73A492D,SESS-C0702CD0,button_click,/billing,Web,Travel,186,92.7,0,2026-03-26T07:03:03
CONT-208E2CC9,SESS-F76DEF60,form_submit,/faq,Web,Retail,60,0.7,0,2026-04-03T16:31:43
CONT-BD33C210,SESS-F7F5C644,page_view,/home,Web,Healthcare,20,56.4,0,2026-03-25T07:36:50
CONT-B6FC1783,SESS-09A5883E,chat_close,/contact,Kiosk,Financial Services,155,82.2,0,2026-04-05T11:28:23
CONT-D00BF537,SESS-D3EDD2F2,chat_open,/support,Kiosk,Travel,35,37.5,0,2026-03-11T22:14:36
CONT-F6BEB128,SESS-3D69CE40,button_click,/orders,Mobile App,Financial Services,18,3.0,0,2026-03-20T08:50:20
CONT-49A9E28C,SESS-83A7D9ED,search,/orders,Partner API,Technology,72,28.3,0,2026-03-23T23:07:47
CONT-FEE0D886,SESS-C2F693B0,search,/faq,Partner API,Travel,5,77.2,0,2026-04-02T06:01:03
CONT-B26F889E,SESS-DE67E595,button_click,/billing,Web,Travel,40,88.3,0,2026-03-31T04:47:28
CONT-E9778D0B,SESS-A5E7F4EE,form_submit,/orders,IVR,Travel,37,16.5,0,2026-03-10T02:50:03
CONT-3B48C70E,SESS-26E25E5C,button_click,/contact,Mobile App,Travel,13,54.2,0,2026-03-25T00:31:34
CONT-C4D2FCF6,SESS-3C260311,chat_close,/orders,Kiosk,Financial Services,26,16.4,0,2026-03-07T22:41:30
CONT-B26F889E,SESS-ABC90DDF,page_view,/faq,Partner API,Technology,39,22.4,0,2026-03-19T00:14:21
CONT-C8001D64,SESS-24139C9B,chat_open,/settings,Partner API,Retail,30,96.2,0,2026-03-18T08:13:55
CONT-714ECCCD,SESS-3F76E2CC,form_submit,/orders,Partner API,Financial Services,32,22.1,0,2026-03-09T12:00:30
CONT-D473F8FC,SESS-62CD1560,button_click,/orders,Partner API,Financial Services,43,13.7,0,2026-03-14T06:52:35
CONT-ABE4A5AE,SESS-731CED00,chat_open,/orders,Partner API,Technology,29,86.1,0,2026-04-01T04:59:39
CONT-4DB46E81,SESS-5953B776,chat_close,/contact,Web,Travel,30,50.2,0,2026-03-07T12:10:38
CONT-BD33C210,SESS-668603FA,chat_open,/home,Kiosk,Financial Services,69,41.2,0,2026-03-30T08:33:16
CONT-D9F7D9C6,SESS-52622620,search,/checkout,Partner API,Retail,72,35.7,0,2026-03-29T11:52:17
CONT-035F8130,SESS-8A870C0B,chat_open,/faq,IVR,Retail,33,82.4,0,2026-03-17T21:19:35
CONT-A6DA1179,SESS-B9B93D18,button_click,/billing,Mobile App,Retail,3,59.5,0,2026-03-14T18:02:53
CONT-BC739A87,SESS-97801BA6,search,/billing,IVR,Technology,11,54.2,0,2026-03-15T02:59:28
CONT-B9BE8D2A,SESS-EC818BA0,page_view,/home,IVR,Healthcare,28,97.5,0,2026-03-10T00:51:53
CONT-E6C6F1ED,SESS-31E8A213,chat_close,/checkout,Web,Travel,22,44.4,0,2026-03-19T16:23:28
CONT-09D8F325,SESS-1C315808,chat_open,/settings,Web,Retail,51,98.5,0,2026-03-19T05:47:15
CONT-A0144804,SESS-3BFE1596,page_view,/billing,Kiosk,Travel,26,85.9,0,2026-03-24T10:58:17
CONT-DEA94B15,SESS-97B12F8A,chat_open,/orders,Mobile App,Technology,6,3.0,0,2026-03-12T09:58:20
CONT-1BF54BB6,SESS-308C6568,search,/billing,Web,Retail,19,54.6,0,2026-03-19T11:02:32
CONT-95BAA889,SESS-2D95293D,button_click,/faq,Web,Travel,31,96.5,0,2026-03-17T02:12:29
CONT-969D1A37,SESS-8E521843,chat_close,/contact,IVR,Travel,45,48.0,0,2026-03-14T10:31:09
CONT-2A50ECF9,SESS-915887AE,page_view,/faq,Kiosk,Technology,32,68.7,0,2026-04-04T08:39:45
CONT-F388E845,SESS-DCC4A9A7,chat_close,/billing,Mobile App,Technology,17,70.5,0,2026-03-07T16:25:41
CONT-45F72A3F,SESS-DC364EF1,page_view,/support,Web,Technology,81,73.0,0,2026-03-26T01:21:29
CONT-5EB02C71,SESS-96874AD6,button_click,/billing,IVR,Retail,26,29.9,0,2026-03-21T22:45:56
CONT-FABB31CF,SESS-7F7C5056,page_view,/checkout,Kiosk,Travel,28,62.2,0,2026-03-19T16:56:44
CONT-CD867C32,SESS-F2D9B5F9,search,/contact,Partner API,Retail,90,83.7,0,2026-03-21T14:07:44
CONT-F1927C86,SESS-C60E4947,form_submit,/account,IVR,Healthcare,29,77.8,0,2026-04-01T14:43:42
CONT-2489410B,SESS-EA9E66DF,search,/home,Web,Technology,27,89.3,0,2026-03-30T17:38:47
CONT-91174ABC,SESS-76E5484E,form_submit,/account,Mobile App,Retail,30,83.9,0,2026-03-29T07:10:35
CONT-27CFE477,SESS-45EFE4A6,search,/orders,Kiosk,Retail,25,75.7,0,2026-03-25T02:53:41
CONT-029B9905,SESS-FD4AC310,button_click,/orders,IVR,Retail,18,16.1,0,2026-03-11T18:25:41
CONT-736B7C25,SESS-B0863498,form_submit,/home,Partner API,Financial Services,18,51.9,0,2026-03-26T14:00:23
CONT-CDD4A658,SESS-BA554DE8,form_submit,/settings,Web,Retail,33,50.8,0,2026-03-23T09:18:51
CONT-42AACFDF,SESS-53CC2A7B,chat_open,/support,Mobile App,Retail,296,43.9,0,2026-03-19T13:12:35
CONT-35D55FC4,SESS-CEB887B1,page_view,/support,IVR,Healthcare,20,79.6,0,2026-03-08T20:41:01
CONT-33735FBA,SESS-C99FE954,page_view,/contact,Web,Financial Services,15,57.9,0,2026-04-02T06:44:46
CONT-7D639276,SESS-385EBA98,form_submit,/billing,Partner API,Retail,3,28.9,0,2026-03-18T16:15:41
CONT-E6F0B5FB,SESS-20FC5BFB,button_click,/products,Mobile App,Financial Services,43,48.1,0,2026-04-01T16:23:51
CONT-CCA49F26,SESS-E6113FD6,form_submit,/support,Web,Healthcare,16,54.5,0,2026-03-27T01:45:55
CONT-909FF5D6,SESS-BD7C0AB9,button_click,/orders,Web,Retail,22,28.8,0,2026-03-27T23:34:48
CONT-C93F67C2,SESS-846300C9,button_click,/support,Mobile App,Retail,2,49.8,0,2026-03-07T05:31:37
CONT-8BEDA625,SESS-091B3191,chat_open,/orders,Kiosk,Technology,136,61.7,0,2026-03-11T07:08:12
CONT-E0539BF6,SESS-BE688B45,chat_close,/settings,Mobile App,Retail,59,36.0,0,2026-03-18T17:32:39
CONT-B1760A43,SESS-41758EFC,button_click,/faq,Web,Retail,8,97.6,0,2026-03-11T22:59:24
CONT-3E555CE6,SESS-316DB674,page_view,/settings,Mobile App,Financial Services,11,23.4,0,2026-03-18T09:42:06
CONT-6AD9741D,SESS-C2F80999,search,/checkout,IVR,Healthcare,421,32.5,0,2026-03-25T23:37:18
CONT-C93F67C2,SESS-589B873F,button_click,/contact,IVR,Financial Services,34,89.0,0,2026-03-27T13:33:30
CONT-13A0D8ED,SESS-02177B88,button_click,/account,Mobile App,Financial Services,29,56.4,0,2026-03-11T03:43:20
CONT-70358479,SESS-489ED925,search,/account,IVR,Retail,30,36.9,0,2026-03-16T06:12:39
CONT-475DDA39,SESS-11C69935,page_view,/home,Mobile App,Healthcare,82,35.2,0,2026-04-04T19:51:39
CONT-86B88B22,SESS-C50537A2,button_click,/account,IVR,Technology,61,2.3,0,2026-03-23T08:32:52
CONT-0B461551,SESS-83E749D7,search,/home,Kiosk,Technology,4,75.9,0,2026-03-28T20:18:00
CONT-3CCFCBC5,SESS-1AFAC65E,button_click,/orders,Web,Healthcare,46,12.6,0,2026-03-11T06:48:26
CONT-4EE38568,SESS-2C85E223,chat_open,/settings,IVR,Travel,6,92.6,0,2026-03-27T03:02:33
CONT-C93F67C2,SESS-40EED3F7,form_submit,/support,Mobile App,Technology,17,93.4,0,2026-03-24T22:37:34
CONT-D9EEACF9,SESS-6D9E869B,chat_close,/settings,Web,Travel,23,57.4,0,2026-03-23T19:04:51
CONT-EF4F7C26,SESS-23C3A13B,page_view,/billing,IVR,Travel,42,15.5,0,2026-03-16T12:23:57
CONT-69C669DE,SESS-6D5C7486,search,/products,Partner API,Travel,59,74.2,0,2026-03-26T04:57:02
CONT-7285C3A3,SESS-BF13DB9B,chat_close,/products,Kiosk,Healthcare,65,63.3,0,2026-03-26T11:01:10
CONT-5B7AAB59,SESS-176F5DE4,chat_close,/home,Kiosk,Technology,211,7.9,0,2026-04-05T17:28:22
CONT-893C2AB4,SESS-7B865965,chat_open,/home,Partner API,Healthcare,40,68.4,0,2026-03-11T15:13:55
CONT-B8CA1315,SESS-EFDD8715,page_view,/home,Web,Healthcare,52,33.4,0,2026-04-05T14:25:27
CONT-2EF202DE,SESS-1103122B,form_submit,/billing,Kiosk,Travel,224,14.2,0,2026-03-25T14:20:42
CONT-1E886570,SESS-67297585,chat_open,/checkout,Partner API,Financial Services,63,58.4,0,2026-03-21T23:51:28
CONT-0732B7F5,SESS-D5ADD3AC,page_view,/support,Mobile App,Travel,71,49.9,0,2026-03-15T00:27:00
CONT-83369D85,SESS-18588D24,search,/settings,IVR,Technology,73,34.5,0,2026-03-14T09:38:45
CONT-99BA119E,SESS-2D592FA3,page_view,/contact,Kiosk,Financial Services,62,9.6,0,2026-03-20T23:03:10
CONT-F6DE2C17,SESS-C383A007,chat_close,/settings,Mobile App,Healthcare,51,16.2,0,2026-03-24T19:09:13
CONT-4F38987C,SESS-A74BAC17,page_view,/support,Kiosk,Travel,87,54.4,0,2026-04-05T16:38:18
CONT-1E6A3184,SESS-500A010D,chat_open,/support,IVR,Financial Services,305,7.5,0,2026-03-21T07:48:46
CONT-8C7F1F24,SESS-9D472C33,search,/home,Kiosk,Travel,236,8.6,0,2026-03-28T18:41:32
CONT-80424D05,SESS-A73FB7A6,chat_close,/faq,Mobile App,Financial Services,60,0.2,0,2026-03-31T11:39:20
CONT-85583E08,SESS-A134222F,form_submit,/support,Partner API,Financial Services,33,13.2,0,2026-03-29T10:40:59
CONT-FCB0889C,SESS-B48BB066,button_click,/support,Partner API,Technology,29,73.5,0,2026-04-05T20:29:09
CONT-781C545A,SESS-672BFDB5,search,/settings,Partner API,Retail,14,66.5,0,2026-03-21T00:01:16
CONT-681377B5,SESS-A6976EE5,page_view,/products,Kiosk,Retail,12,40.5,0,2026-03-14T23:18:08
CONT-A41CAFC5,SESS-1445FA83,search,/settings,IVR,Technology,142,7.3,0,2026-03-29T14:58:01
CONT-AF2A87B3,SESS-9B808552,button_click,/home,IVR,Travel,39,94.6,0,2026-04-02T05:46:18
CONT-C9CEE780,SESS-58F1573B,search,/products,Kiosk,Retail,7,31.1,0,2026-03-19T04:48:51
CONT-5803FC03,SESS-06F82E88,chat_open,/checkout,Web,Travel,14,67.1,0,2026-03-13T06:01:16
CONT-95FDF140,SESS-318F03ED,button_click,/home,Mobile App,Healthcare,6,29.6,0,2026-03-18T20:40:39
CONT-F7D9DDB4,SESS-C61CB1D9,button_click,/faq,IVR,Technology,14,55.2,0,2026-03-14T16:11:09
CONT-69C669DE,SESS-3BCB909F,chat_close,/products,Web,Retail,8,96.6,0,2026-04-04T17:57:48
CONT-0232E7B3,SESS-291AC053,chat_open,/checkout,Mobile App,Financial Services,109,59.4,0,2026-03-15T11:48:58
CONT-C6CB6442,SESS-9981BD2B,chat_open,/settings,Partner API,Healthcare,6,94.2,0,2026-04-05T16:04:51
CONT-A3F210CA,SESS-71988796,button_click,/account,Kiosk,Retail,6,20.6,0,2026-04-01T03:10:24
CONT-C7077483,SESS-ED0174F6,search,/checkout,Kiosk,Travel,51,56.6,0,2026-03-14T11:05:19
CONT-2DE11F09,SESS-0339A5D7,search,/contact,IVR,Financial Services,18,66.6,0,2026-03-22T14:33:29
CONT-7383FAA8,SESS-5BC75FD1,chat_close,/home,Web,Technology,39,33.6,0,2026-03-31T13:55:59
CONT-90302654,SESS-689F5D28,form_submit,/products,Partner API,Travel,5,52.0,0,2026-03-18T00:21:30
CONT-DDFC7BD9,SESS-47AE3A1A,button_click,/contact,IVR,Travel,5,8.0,0,2026-03-20T06:54:56
CONT-488DE685,SESS-9146356A,form_submit,/checkout,IVR,Retail,4,84.6,0,2026-03-27T15:09:02
CONT-D0EA01A9,SESS-F42E274C,page_view,/faq,IVR,Financial Services,11,8.4,0,2026-03-15T17:22:20
CONT-0BE123C8,SESS-54280A2F,chat_close,/support,IVR,Retail,8,75.0,0,2026-03-29T12:53:42
CONT-978E6AF0,SESS-91DFE2C6,chat_close,/home,Partner API,Healthcare,26,31.1,0,2026-03-16T10:27:39
CONT-D692685E,SESS-94E87F2D,button_click,/faq,Partner API,Healthcare,25,58.3,0,2026-03-07T04:28:12
CONT-B2DE920C,SESS-5B478E78,chat_open,/billing,Web,Travel,9,18.5,0,2026-03-30T20:42:28
CONT-0E8B9BB1,SESS-86D03018,chat_close,/support,IVR,Financial Services,32,5.4,0,2026-03-20T16:46:53
CONT-B7DD4959,SESS-9D1841E2,search,/support,Mobile App,Technology,45,37.4,0,2026-03-17T14:02:23
CONT-2B6461C3,SESS-CE83B749,page_view,/products,Web,Financial Services,9,44.5,0,2026-03-10T02:06:57
CONT-8109F0E6,SESS-E8B9E102,page_view,/faq,Web,Healthcare,33,93.6,0,2026-04-04T08:46:17
CONT-BA5AC9B0,SESS-C001B00A,page_view,/settings,Partner API,Financial Services,92,98.5,0,2026-03-15T00:11:30
CONT-73FE053E,SESS-9E5EB47D,form_submit,/home,Partner API,Retail,5,8.2,0,2026-03-25T16:54:49
CONT-6B8F19BB,SESS-8FAB7850,page_view,/home,Partner API,Financial Services,15,67.8,0,2026-03-17T04:16:58
CONT-2A36140F,SESS-CB24B8A5,form_submit,/billing,Kiosk,Travel,16,60.2,0,2026-03-14T09:40:59
CONT-7383FAA8,SESS-53694CDC,button_click,/support,IVR,Technology,85,40.4,0,2026-03-22T15:00:34
CONT-9AF2DD9A,SESS-8409384C,button_click,/faq,Web,Retail,25,49.5,0,2026-03-27T07:18:38
CONT-5CF7E3AC,SESS-D4D708FD,chat_close,/support,Kiosk,Travel,28,35.9,0,2026-03-26T13:49:25
CONT-892D7832,SESS-08086DEF,form_submit,/faq,Web,Financial Services,8,1.0,0,2026-03-25T18:38:51
CONT-A0144804,SESS-8AA53213,button_click,/faq,Web,Healthcare,70,20.4,0,2026-03-08T09:47:36
CONT-736B7C25,SESS-2E91F94F,page_view,/home,Web,Technology,13,15.8,0,2026-03-20T10:42:54
CONT-2327D992,SESS-0154556E,button_click,/checkout,Kiosk,Retail,111,96.8,0,2026-03-29T00:23:45
CONT-C1485A1C,SESS-36F0B839,chat_open,/products,IVR,Travel,10,49.1,0,2026-03-16T13:21:36
CONT-0D52AB9E,SESS-159765A2,chat_close,/account,Mobile App,Travel,7,91.2,0,2026-03-16T10:38:35
CONT-A7769672,SESS-33BAFE30,button_click,/faq,Mobile App,Travel,15,85.7,0,2026-03-11T14:02:02
CONT-C2778F43,SESS-AE9B4B93,chat_close,/settings,IVR,Technology,10,45.9,0,2026-03-13T18:16:05
CONT-42AACFDF,SESS-B2C5CA31,chat_open,/billing,Mobile App,Healthcare,76,60.5,0,2026-03-15T13:11:18
CONT-44EE484F,SESS-1D6DC695,page_view,/contact,Web,Travel,8,60.6,0,2026-03-09T17:26:06
CONT-DCE95A2D,SESS-4CC42601,page_view,/orders,Mobile App,Travel,111,72.6,0,2026-04-03T09:53:07
CONT-2C4A3D92,SESS-3BAE7F24,chat_close,/orders,Mobile App,Technology,20,75.9,0,2026-03-27T13:20:10
CONT-DDFC7BD9,SESS-1682741D,button_click,/settings,Web,Healthcare,1,65.3,0,2026-03-09T08:13:30
CONT-0FFC8D4D,SESS-04BCE480,search,/products,IVR,Financial Services,27,90.9,0,2026-03-07T23:05:49
CONT-C82BBCBB,SESS-BD87E6E7,button_click,/home,Web,Retail,15,87.1,0,2026-04-05T18:01:08
CONT-7BEA75F4,SESS-76BA207E,chat_close,/contact,IVR,Technology,18,43.8,0,2026-03-16T04:50:46
CONT-2F0A44F8,SESS-89910187,chat_close,/orders,Web,Technology,53,74.0,0,2026-03-12T05:47:25
CONT-1823CC62,SESS-5A0F2182,form_submit,/support,Partner API,Travel,83,39.4,0,2026-03-24T21:07:34
CONT-71068E2F,SESS-6537A069,search,/contact,Web,Retail,133,59.9,0,2026-03-14T03:39:28
CONT-3B0B2C2E,SESS-578EAD06,form_submit,/contact,Kiosk,Financial Services,121,78.9,0,2026-03-09T18:13:49
CONT-5430724E,SESS-CFE8D612,page_view,/settings,Web,Retail,95,8.7,0,2026-04-02T20:32:11
CONT-6C95A5A9,SESS-64B521CD,search,/checkout,Partner API,Healthcare,18,1.6,0,2026-03-17T07:57:15
CONT-27808E98,SESS-7C76DCE2,page_view,/settings,Mobile App,Travel,27,33.7,0,2026-04-02T03:48:54
CONT-8FF1DD07,SESS-5365FCCB,chat_close,/contact,IVR,Technology,72,53.7,0,2026-03-21T04:15:27
CONT-BEA48FC1,SESS-2048A2E5,form_submit,/products,Web,Technology,30,75.5,0,2026-03-12T00:31:23
CONT-8109F0E6,SESS-78347B76,chat_open,/account,Mobile App,Technology,27,50.7,0,2026-04-01T18:18:33
CONT-27CFE477,SESS-E0275D1B,button_click,/billing,Partner API,Travel,20,11.5,0,2026-03-24T19:17:22
CONT-A564DA43,SESS-707BF879,chat_close,/account,Web,Financial Services,11,25.7,0,2026-03-30T01:41:24
CONT-D80C9D09,SESS-0A62D04D,search,/checkout,Web,Travel,66,67.2,0,2026-03-21T23:54:07
CONT-D103997F,SESS-EA63E26B,search,/settings,Mobile App,Financial Services,48,87.6,0,2026-03-23T23:22:04
CONT-CA7EA08B,SESS-6A010737,form_submit,/account,Mobile App,Financial Services,7,85.0,0,2026-03-30T03:42:35
CONT-33DD228F,SESS-FA62AED9,form_submit,/products,Partner API,Financial Services,24,84.5,0,2026-03-10T15:14:09
CONT-AABF70C9,SESS-2F638CFC,chat_open,/support,Web,Financial Services,22,8.3,0,2026-03-14T00:39:15
CONT-8FE905CC,SESS-F848A72E,chat_open,/contact,Partner API,Retail,49,74.9,0,2026-03-22T05:55:53
CONT-E83E3232,SESS-E6CC6108,form_submit,/contact,Kiosk,Healthcare,14,30.9,0,2026-04-04T09:25:01
CONT-9C0F459F,SESS-D00C48D8,form_submit,/orders,Partner API,Technology,10,95.9,0,2026-03-20T20:17:36
CONT-9EA7BD09,SESS-6094C5B0,page_view,/orders,IVR,Travel,19,42.9,0,2026-03-31T05:48:21
CONT-C40A0E26,SESS-BC1E1580,chat_open,/account,IVR,Healthcare,82,70.4,0,2026-04-01T18:56:36
CONT-093F336F,SESS-8DF140B7,page_view,/account,Partner API,Healthcare,76,60.9,0,2026-03-31T14:49:55
CONT-EC0F1BD2,SESS-DA88BD68,chat_close,/checkout,Mobile App,Technology,31,84.2,0,2026-03-28T21:51:10
CONT-14909F86,SESS-E12E34BE,chat_close,/account,Mobile App,Travel,25,98.5,0,2026-03-31T01:42:03
CONT-888B4017,SESS-7CACA349,search,/account,Mobile App,Travel,22,62.3,0,2026-03-29T15:15:45
CONT-9D1087BB,SESS-7716ED39,form_submit,/home,Kiosk,Financial Services,111,92.5,0,2026-03-12T09:12:56
CONT-677C7767,SESS-A144988B,chat_close,/support,Partner API,Healthcare,112,70.0,0,2026-03-16T15:58:32
CONT-F54C362D,SESS-415068F0,chat_close,/home,Web,Healthcare,30,3.8,0,2026-03-24T14:35:04
CONT-1FE07571,SESS-E24F46A7,form_submit,/billing,Partner API,Retail,42,55.7,0,2026-03-10T14:13:51
CONT-D9F7D9C6,SESS-43811134,page_view,/orders,Web,Financial Services,75,85.6,0,2026-03-26T01:05:32
CONT-434E5682,SESS-5BBDD1EB,chat_open,/settings,IVR,Financial Services,14,87.4,0,2026-03-22T14:42:23
CONT-C4E5B5B9,SESS-D60B7F8F,chat_open,/faq,IVR,Retail,52,19.3,0,2026-03-16T00:55:08
CONT-632BF8E1,SESS-73755F68,form_submit,/billing,Web,Healthcare,21,33.6,0,2026-03-13T21:40:22
CONT-5AF24E05,SESS-DBF932D5,form_submit,/orders,IVR,Travel,82,54.7,0,2026-04-05T04:43:03
CONT-AC177EF1,SESS-5262B495,chat_close,/settings,Mobile App,Financial Services,20,90.7,0,2026-03-24T13:23:52
CONT-75062126,SESS-1EE09B77,page_view,/support,Web,Technology,68,27.7,0,2026-03-27T18:11:23
CONT-8FE905CC,SESS-7655AE73,chat_close,/faq,IVR,Financial Services,56,38.6,0,2026-03-12T18:34:14
CONT-36273E76,SESS-ABABAFDD,chat_close,/contact,IVR,Travel,10,1.9,0,2026-03-26T21:35:10
CONT-5430724E,SESS-01E68261,page_view,/faq,Partner API,Technology,5,67.0,0,2026-03-17T09:41:29
CONT-43BFC92F,SESS-9B195EB9,chat_open,/support,Partner API,Technology,29,5.9,0,2026-03-08T07:43:30
CONT-D5E3C403,SESS-674C2694,form_submit,/support,IVR,Retail,32,51.9,0,2026-03-27T11:40:07
CONT-8FE905CC,SESS-0A5B3DF3,button_click,/settings,Web,Financial Services,32,85.1,0,2026-04-02T19:15:01
CONT-6BA72231,SESS-D48050F3,chat_close,/support,Mobile App,Technology,52,40.7,0,2026-03-07T00:28:59
CONT-F52D0085,SESS-31B9782E,search,/account,Kiosk,Healthcare,171,13.0,0,2026-03-19T03:44:49
CONT-C41FF59A,SESS-D6BB1511,chat_close,/home,Mobile App,Financial Services,24,72.8,0,2026-03-19T07:25:46
CONT-AF6E40F4,SESS-06A25497,form_submit,/account,Mobile App,Financial Services,6,12.3,0,2026-04-02T10:55:44
CONT-D9F7D9C6,SESS-98E2B318,page_view,/products,Web,Travel,22,55.0,0,2026-03-27T02:35:19
CONT-28116D7D,SESS-672BB1F1,page_view,/faq,Partner API,Travel,19,63.7,0,2026-04-01T02:35:32
CONT-34EED4E6,SESS-776B2464,chat_close,/contact,IVR,Financial Services,2,25.1,0,2026-03-21T20:10:14
CONT-71C21184,SESS-778C62FA,chat_close,/support,IVR,Healthcare,10,97.2,0,2026-03-24T09:37:37
CONT-770EE750,SESS-4CA9227A,search,/orders,IVR,Travel,15,60.8,0,2026-03-22T07:37:38
CONT-8B8DE1B7,SESS-EE3329E6,search,/contact,Web,Technology,19,72.4,0,2026-03-18T23:47:35
CONT-60715B6D,SESS-A97D805C,chat_open,/home,Web,Travel,102,3.8,0,2026-03-21T19:38:28
CONT-88A80658,SESS-1D049973,chat_open,/orders,IVR,Travel,228,93.3,0,2026-04-04T05:36:58
CONT-EC0F1BD2,SESS-1C0FE37F,button_click,/billing,Mobile App,Technology,13,53.3,0,2026-03-17T23:11:30
CONT-41354B6E,SESS-D5E6BBD4,search,/account,IVR,Technology,25,85.1,0,2026-03-26T07:50:51
CONT-31EAB806,SESS-37CD8B09,chat_open,/settings,Mobile App,Healthcare,18,58.6,0,2026-03-15T10:11:25
CONT-D5CC7EBC,SESS-037C7824,form_submit,/contact,Mobile App,Financial Services,13,15.0,0,2026-04-05T21:16:07
CONT-2520C83F,SESS-F2E6EBDE,page_view,/settings,Kiosk,Financial Services,143,19.9,0,2026-03-13T08:05:57
CONT-42774430,SESS-734A5FE4,form_submit,/account,Mobile App,Retail,36,44.7,0,2026-03-30T04:27:07
CONT-81B5D0DB,SESS-30E6F67D,search,/settings,Web,Retail,51,59.8,0,2026-03-09T09:28:39
CONT-FCE6F04A,SESS-351EA3D5,chat_open,/contact,IVR,Travel,11,85.8,0,2026-03-09T06:58:40
CONT-717E0439,SESS-C8DF7D4E,page_view,/billing,Mobile App,Retail,32,44.7,0,2026-03-27T00:54:36
CONT-3E7DA4D5,SESS-5BCE6D03,button_click,/home,Kiosk,Technology,11,45.3,0,2026-03-16T15:24:12
CONT-6B55CEAD,SESS-47A2EC79,page_view,/orders,Mobile App,Technology,38,47.0,0,2026-03-19T17:06:01
CONT-22BC9414,SESS-4E4CF543,chat_open,/faq,Web,Travel,108,71.9,0,2026-04-01T07:47:38
CONT-50B043BC,SESS-858DA988,chat_close,/orders,Web,Technology,43,22.1,0,2026-03-16T16:52:25
