contact_id,session_id,topic_name,confidence_score,response_type,thumbs_up,thumbs_down,escalated_to_agent,business_unit,application_channel,handle_seconds_dur,derived_resolution_score,created_at
CONT-5F7B0A8E,SESS-82CA4BC5,Loyalty Program,0.8076,Escalation,0,0,0,Travel,Mobile App,216,0.4228,2026-03-18T18:42:13
CONT-4F38987C,SESS-329A584B,Billing Inquiry,0.6122,Handoff,0,0,0,Financial Services,Mobile App,7,0.3357,2026-03-07T13:04:24
CONT-E26AAE49,SESS-E4F87B08,Returns & Refunds,0.6413,Free Text,0,0,0,Healthcare,Kiosk,73,0.3233,2026-03-09T06:29:57
CONT-7977D5B1,SESS-F28F974C,Technical Troubleshooting,0.7952,Self-Service,0,0,1,Technology,Kiosk,808,0.214,2026-03-10T14:51:20
CONT-F182720F,SESS-D373F3F6,Technical Troubleshooting,0.5829,Escalation,1,0,0,Retail,Mobile App,191,0.5732,2026-04-04T00:35:08
CONT-B880113D,SESS-B07DDFE7,Product Support,1.0,Self-Service,0,0,1,Healthcare,Web,339,0.3118,2026-03-27T01:03:23
CONT-89F75278,SESS-A3B4C2C1,Order Status,0.3905,Free Text,0,0,1,Financial Services,Partner API,69,0.0474,2026-03-19T17:45:04
CONT-1BB7DD1D,SESS-EF57539A,Password Reset,0.6464,Self-Service,0,1,0,Retail,Kiosk,159,0.1651,2026-03-31T05:03:30
CONT-73DFB371,SESS-6A348ECC,Loyalty Program,0.721,Self-Service,0,0,0,Healthcare,Mobile App,29,0.3896,2026-03-15T00:44:19
CONT-80E6448A,SESS-7CABFEE1,Billing Inquiry,0.5083,Handoff,0,0,0,Technology,Kiosk,71,0.2988,2026-03-08T10:06:01
CONT-2B9B5230,SESS-E4C3E45E,Order Status,0.8451,FAQ,1,0,1,Financial Services,IVR,238,0.5454,2026-03-27T06:14:45
CONT-F24C8A48,SESS-9D0E29ED,Returns & Refunds,0.776,Escalation,0,0,0,Retail,Web,285,0.4279,2026-03-26T05:06:32
CONT-9E76118B,SESS-24BAFD07,Account Management,0.7044,Escalation,0,0,0,Technology,IVR,286,0.3818,2026-03-23T15:53:03
CONT-2C4A3D92,SESS-34916A41,Account Management,1.0,Self-Service,0,0,0,Travel,Mobile App,45,0.4594,2026-03-08T01:53:10
CONT-5E5F2267,SESS-162672CB,Account Management,0.575,Escalation,0,0,0,Technology,IVR,62,0.2768,2026-03-25T10:24:17
CONT-A564DA43,SESS-EA09821B,Product Support,0.7173,Guided Flow,0,0,0,Travel,Partner API,25,0.3182,2026-03-19T06:24:04
CONT-978E6AF0,SESS-2A9397CD,Loyalty Program,0.4491,Handoff,0,0,1,Healthcare,Mobile App,1314,0.0798,2026-03-22T04:28:49
CONT-4CB3792E,SESS-05D7019A,Password Reset,0.682,FAQ,0,0,0,Travel,Kiosk,110,0.3072,2026-03-20T12:56:22
CONT-79EBF960,SESS-FD58E357,Loyalty Program,0.5527,Escalation,0,0,0,Travel,Web,35,0.2472,2026-03-10T01:49:47
CONT-4EE38568,SESS-F4FD5913,Returns & Refunds,0.4489,FAQ,0,0,0,Travel,Kiosk,265,0.2714,2026-04-01T19:21:34
CONT-841D5B36,SESS-B3B945D0,Billing Inquiry,0.7549,FAQ,1,0,0,Financial Services,Web,85,0.6349,2026-03-25T15:40:37
CONT-BBEA26B1,SESS-0A887A41,Subscription Management,0.8465,FAQ,0,0,0,Healthcare,Web,181,0.4542,2026-03-15T06:33:31
CONT-6BFD3951,SESS-11740AE2,Password Reset,0.7488,Guided Flow,0,0,0,Technology,IVR,123,0.3309,2026-03-19T01:24:23
CONT-4EE03A4B,SESS-C69EFBA4,Billing Inquiry,0.7628,Self-Service,0,0,0,Technology,Web,119,0.3597,2026-04-02T10:35:48
CONT-6B316998,SESS-9D047250,Account Management,0.6265,Self-Service,1,0,0,Retail,IVR,64,0.5714,2026-03-31T07:23:26
CONT-83054085,SESS-BB0E4B40,Returns & Refunds,0.7598,Self-Service,0,0,0,Healthcare,Kiosk,58,0.3454,2026-03-20T04:06:29
CONT-3DCD1855,SESS-9570DC5A,General Inquiry,0.7117,FAQ,0,0,0,Healthcare,Partner API,45,0.3808,2026-03-28T08:49:16
CONT-C01A3745,SESS-361DAE47,Order Status,0.9336,Escalation,0,0,0,Retail,IVR,39,0.4593,2026-03-13T14:44:25
CONT-762D0FE3,SESS-8BC1E0EC,Order Status,0.7026,Handoff,0,0,0,Retail,Kiosk,37,0.3367,2026-03-11T11:49:51
CONT-88A80658,SESS-6E875492,Subscription Management,0.9749,Self-Service,0,0,1,Healthcare,Web,231,0.3371,2026-03-30T12:14:10
CONT-788046D8,SESS-DB6F71FC,Loyalty Program,0.7933,Guided Flow,0,0,0,Retail,Web,137,0.3731,2026-03-07T02:23:42
CONT-36CAF708,SESS-9F4EFDDC,Billing Inquiry,0.3437,Guided Flow,0,0,0,Healthcare,Web,79,0.1769,2026-03-07T05:55:11
CONT-C93F67C2,SESS-867289EE,General Inquiry,0.5246,FAQ,0,0,0,Financial Services,Mobile App,29,0.2867,2026-03-11T09:38:39
CONT-A9D322AC,SESS-A0F19012,Technical Troubleshooting,0.7433,Free Text,0,0,0,Retail,IVR,72,0.3479,2026-04-01T21:52:30
CONT-BB6D5E06,SESS-D6F1D829,Order Status,0.5906,Guided Flow,0,0,0,Financial Services,Web,84,0.2465,2026-03-16T15:30:22
CONT-E7EFEBA6,SESS-42F2A32E,Billing Inquiry,0.3789,Guided Flow,0,0,0,Retail,Web,107,0.2062,2026-03-22T09:47:34
CONT-5CDB1823,SESS-BBE953AA,Subscription Management,0.6964,Handoff,0,0,1,Travel,Partner API,669,0.2109,2026-03-24T00:27:56
CONT-2520C83F,SESS-E550C8B2,Product Support,0.4772,Escalation,0,0,0,Financial Services,Web,112,0.2043,2026-03-16T10:44:22
CONT-B0B45403,SESS-7D9F158B,General Inquiry,0.7287,Self-Service,0,0,0,Technology,Web,31,0.3448,2026-04-01T16:25:54
CONT-BC739A87,SESS-7960A694,Order Status,0.6066,Self-Service,0,0,0,Retail,IVR,312,0.2883,2026-03-22T22:21:35
CONT-62D1D575,SESS-AC1BCBE3,Billing Inquiry,0.6492,Free Text,0,0,0,Retail,Partner API,58,0.2797,2026-03-09T03:02:59
CONT-0E9BCEBB,SESS-4F7FE8F6,Subscription Management,0.9254,Free Text,0,1,0,Financial Services,IVR,313,0.297,2026-03-17T15:27:18
CONT-2F5B6595,SESS-AA3F5B01,Account Management,0.7419,Escalation,0,0,0,Healthcare,Partner API,42,0.3862,2026-03-26T08:14:28
CONT-91034DB9,SESS-089DA257,Billing Inquiry,0.7062,FAQ,0,0,0,Technology,Kiosk,63,0.3465,2026-03-18T11:41:06
CONT-E88B032E,SESS-1E33D227,Returns & Refunds,0.9817,FAQ,0,0,0,Healthcare,Kiosk,239,0.5371,2026-03-07T14:41:23
CONT-B1760A43,SESS-77F8789E,Loyalty Program,0.875,Escalation,0,0,0,Retail,Mobile App,59,0.4143,2026-03-30T22:10:41
CONT-7EC69396,SESS-EFC70509,Order Status,1.0,Handoff,0,0,1,Financial Services,Web,104,0.3793,2026-03-21T23:10:10
CONT-6FC06AD4,SESS-C9EF0715,Returns & Refunds,0.6522,Self-Service,0,0,0,Financial Services,Partner API,259,0.3595,2026-03-30T07:27:25
CONT-BF6222E6,SESS-D72BD8DE,Order Status,1.0,Self-Service,0,0,0,Healthcare,Partner API,39,0.5281,2026-03-20T15:16:31
CONT-27634B09,SESS-69EEA599,Account Management,0.5371,Self-Service,0,0,0,Healthcare,IVR,61,0.2247,2026-03-26T19:22:13
CONT-22F7590C,SESS-35DB8AFB,Technical Troubleshooting,0.7137,Guided Flow,0,0,1,Financial Services,Mobile App,93,0.2313,2026-03-12T21:09:56
CONT-71D1F155,SESS-510A4634,Billing Inquiry,0.7951,Escalation,0,0,0,Healthcare,Mobile App,57,0.3708,2026-03-16T18:00:47
CONT-E096BD2E,SESS-EB3CA231,General Inquiry,0.8778,Free Text,0,0,0,Technology,Mobile App,51,0.4197,2026-03-24T07:26:53
CONT-EE58A101,SESS-D3C132F1,Password Reset,0.4962,Handoff,0,0,0,Travel,Partner API,29,0.2704,2026-03-10T00:59:14
CONT-5A649855,SESS-24E999E7,Technical Troubleshooting,0.6745,Free Text,0,0,0,Technology,Partner API,121,0.384,2026-03-24T13:57:31
CONT-568FCD31,SESS-3FD9A8F8,Loyalty Program,0.6665,Self-Service,0,0,0,Travel,Kiosk,22,0.3702,2026-03-16T06:38:18
CONT-D692685E,SESS-CF2AE8CB,Subscription Management,0.8123,FAQ,0,0,0,Healthcare,Mobile App,60,0.4106,2026-03-15T11:06:53
CONT-2882CC9F,SESS-9030F57C,Account Management,0.5905,Free Text,0,0,0,Travel,Partner API,174,0.2514,2026-03-10T08:38:27
CONT-D0662E54,SESS-EA292DEA,General Inquiry,0.6432,Guided Flow,1,0,0,Retail,Web,66,0.6574,2026-04-02T01:28:38
CONT-3227E46E,SESS-5CD1D7D1,Product Support,0.941,Self-Service,0,0,0,Financial Services,IVR,190,0.506,2026-03-16T23:30:17
CONT-09F996D4,SESS-1B0CEF77,Returns & Refunds,0.3494,Escalation,0,0,0,Technology,IVR,19,0.1822,2026-03-16T05:17:14
CONT-3E555CE6,SESS-24863AA4,Account Management,0.5204,Escalation,0,0,0,Retail,Partner API,275,0.2758,2026-03-09T03:56:16
CONT-2A50BFD1,SESS-432EFE69,Product Support,0.5368,FAQ,0,0,0,Technology,Partner API,74,0.2506,2026-03-14T04:02:30
CONT-21B0BE0E,SESS-563112BB,Account Management,0.3505,Escalation,0,0,0,Financial Services,Kiosk,73,0.2087,2026-03-15T01:00:46
CONT-FC6C3D69,SESS-1DA4688D,Order Status,0.6804,Guided Flow,0,0,0,Healthcare,IVR,58,0.3847,2026-03-08T05:35:45
CONT-CCD24B2B,SESS-CF57DFC4,Order Status,0.6675,Self-Service,1,0,0,Retail,Web,30,0.6795,2026-03-12T11:14:30
CONT-21CB85AF,SESS-BC82ADBC,Returns & Refunds,0.7304,Free Text,0,0,0,Financial Services,Kiosk,84,0.3911,2026-04-02T09:38:40
CONT-E096BD2E,SESS-153F82FA,Order Status,0.7354,Guided Flow,1,0,0,Retail,IVR,130,0.6833,2026-03-28T13:32:43
CONT-56FA752E,SESS-10B67795,Returns & Refunds,0.7517,Escalation,0,0,0,Financial Services,Kiosk,21,0.3699,2026-03-21T11:03:47
CONT-D473F8FC,SESS-2DE2AD15,Password Reset,0.8163,Handoff,0,0,1,Retail,Kiosk,29,0.2806,2026-03-12T18:46:58
CONT-7D606328,SESS-8EFEBAE7,Password Reset,0.7841,FAQ,0,0,0,Technology,Web,126,0.4053,2026-03-16T00:26:39
CONT-81D0455B,SESS-C27531F3,Password Reset,0.7468,FAQ,0,0,0,Travel,IVR,97,0.4045,2026-03-24T17:18:22
CONT-1481E547,SESS-64146884,Account Management,0.5749,Escalation,0,0,0,Financial Services,Partner API,48,0.2476,2026-03-26T01:15:27
CONT-9C100BDA,SESS-B90B4992,Subscription Management,0.3663,FAQ,0,0,0,Financial Services,Kiosk,71,0.1858,2026-04-03T02:49:13
CONT-62726E89,SESS-1343A38F,Password Reset,0.8718,Escalation,0,0,0,Retail,Mobile App,72,0.4259,2026-03-20T20:45:14
CONT-D9CC67C9,SESS-CA684F38,Password Reset,0.5161,FAQ,1,0,0,Healthcare,Mobile App,75,0.55,2026-03-08T00:00:11
CONT-AD635E9D,SESS-627860E9,Subscription Management,0.5851,Guided Flow,0,0,1,Travel,IVR,111,0.0979,2026-03-07T19:24:39
CONT-ED3207EF,SESS-6CF6BB26,Subscription Management,0.5813,Handoff,1,0,0,Travel,Partner API,217,0.5449,2026-03-27T07:59:06
CONT-CCA49F26,SESS-B1444A7F,Returns & Refunds,0.7898,FAQ,0,0,1,Retail,Web,135,0.278,2026-03-14T20:40:37
CONT-C77B1809,SESS-2657116F,Returns & Refunds,0.7688,Escalation,0,0,0,Technology,Kiosk,110,0.3925,2026-03-18T17:51:57
CONT-D9E2312D,SESS-94336C1E,General Inquiry,0.6806,Self-Service,0,0,0,Travel,Mobile App,85,0.3848,2026-03-17T15:03:44
CONT-93EE4DCC,SESS-7C983269,Subscription Management,1.0,Self-Service,0,0,0,Retail,Partner API,45,0.5342,2026-03-08T23:33:09
CONT-A4052955,SESS-AC799DDE,Order Status,0.5821,Escalation,0,0,1,Healthcare,IVR,345,0.1365,2026-04-03T10:57:41
CONT-9EB33CC6,SESS-9E41299F,Loyalty Program,0.4938,FAQ,0,0,0,Travel,Web,7,0.2144,2026-04-02T18:12:20
CONT-71A4FA4A,SESS-CF0E1B5C,Billing Inquiry,0.6465,Guided Flow,0,0,1,Healthcare,Web,59,0.2155,2026-03-23T20:12:44
CONT-BC22D510,SESS-525E747D,Password Reset,0.8773,Handoff,0,0,0,Technology,IVR,136,0.401,2026-03-29T19:44:08
CONT-E93E8CD2,SESS-D14DD775,Technical Troubleshooting,0.8541,Self-Service,0,0,0,Technology,Partner API,135,0.4324,2026-03-28T18:35:37
CONT-AD7E2E92,SESS-4792BF4A,Account Management,0.8062,Self-Service,0,0,0,Technology,IVR,59,0.3898,2026-03-31T13:48:49
CONT-94F24E42,SESS-36AD0B12,Loyalty Program,0.9766,Escalation,0,0,1,Travel,Web,37,0.3465,2026-03-11T19:59:47
CONT-E8764E30,SESS-97AFD5EE,Subscription Management,0.4412,Escalation,0,0,0,Financial Services,Kiosk,37,0.2445,2026-04-01T02:26:06
CONT-BC7CF6A4,SESS-0ACFA4D7,Order Status,0.4768,Free Text,0,0,1,Travel,Web,94,0.0807,2026-03-12T09:29:00
CONT-841D5B36,SESS-23F58DE4,Subscription Management,0.6739,Self-Service,0,0,0,Financial Services,Partner API,106,0.306,2026-03-16T14:23:12
CONT-0BBA7594,SESS-7AB7067B,Product Support,0.6557,Handoff,0,0,0,Technology,IVR,56,0.3015,2026-04-03T07:37:31
CONT-6B3A8370,SESS-1FD64E6E,Loyalty Program,0.8841,FAQ,0,0,0,Technology,IVR,54,0.444,2026-03-21T11:56:27
CONT-1324F705,SESS-93C721DA,Product Support,0.6466,Self-Service,0,0,0,Retail,IVR,43,0.2826,2026-03-19T01:27:49
CONT-451DFA78,SESS-E0BC3072,Loyalty Program,1.0,Handoff,0,0,0,Healthcare,Partner API,32,0.5331,2026-03-23T14:26:26
CONT-D00BF537,SESS-5D2A6A5E,Loyalty Program,0.5471,Free Text,0,0,0,Retail,IVR,22,0.3058,2026-03-19T00:47:06
